"X_manif","Y_manif"
1529047.772,6687747.817
1530321.542,6691374.779
1529552.544,6692107.008
1531452.12,6691076.781
1531279.084,6694070.186
1535064.066,6681175.048
1525556.69,6688632.779
1523783.939,6689373.653
1527936.176,6685640.288
1528602.311,6693725.419
1524192.295,6689849.39
1527535.792,6692223.764
1527680.682,6691735.476
1527661.614,6694141.029
1527290.972,6693806.267
1527782.992,6684021.462
1516747.98,6683143.49
1519970.848,6680600.627
1528082.819,6679635.502
1529218.222,6691374.345
1533253.451,6686727.393
1518582.788,6684633.772
1530567.154,6687585.585
1518250.812,6686260.826
1518684.994,6685899.272
1528441.013,6689999.425
1528610.935,6694729.255
1521007.856,6689019.915
1535885.708,6685362.676
1520838.842,6680980.7
1530531.386,6679153.64
1537071.497,6682260.955
1531170.058,6695263.913
1527258.758,6683171.209
1539441.945,6679367.54
1530100.188,6677311.913
1519936.861,6680251.063
1531237.418,6684637.588
1531897.069,6686202.376
1518358.123,6689480.084
1526803.139,6692558.075
1529765.658,6676269.536
1521340.38,6694165.504
1521630.617,6692085.731
1520445.621,6692980.5
1517996.152,6690149.106
1521645.166,6700161.174
1519428.268,6700179.792
1517063.782,6702550.816
1516380.057,6704544.395
1514264.306,6704100.231
1511130.682,6704916.968
1508748.189,6704648.992
1509345.787,6703048.832
1508880.312,6702655.264
1509735.891,6700426.787
1507854.366,6698470.953
1515858.663,6698178.102
1515713.756,6698666.337
1519653.917,6703840.71
1519997.23,6704473.89
1527459.198,6701845.988
1526726.515,6702180.244
1526927.018,6698888.523
1518737.828,6689715.343
1514342.754,6690617.877
1515777.196,6692233.832
1515272.435,6694714.525
1520039.115,6691940.399
1525172.353,6699430.32
1521945.063,6669948.669
1525364.37,6668201.88
1523618.881,6669252.644
1500563.78,6707510.925
1505831.09,6714611.744
1500789.369,6708333.833
1506035.544,6704701.843
1506819.123,6710389.689
1516064.428,6680545.142
1516326.527,6680970.225
1513970.085,6667216.072
1550114.421,6680039.934
1546676.257,6683638.763
1546409.098,6683640.193
1508537.833,6700367.437
1517670.067,6691523.471
1532722.889,6677149.858
1512011.799,6685390.505
1516699.906,6673953.423
1509011.688,6679801.452
1516275.657,6668328.775
1507303.424,6677639.904
1510177.63,6681311.85
1509807.647,6679661.562
1510738.452,6680660.998
1540432.606,6678919.051
1550377.228,6678258.137
1548675.495,6682617.323
1545103.265,6681087.66
