"intercept","area","max_height","sd_height","buff5"
1,137664.1503,37,8.6808,1293412
1,21701.5697,49,13.7672,1267831
1,15894.08935,31,9.2413,1492750
1,61463.67528,28,8.0824,1496760
1,33640.61032,38,9.2967,958687
1,54257.64584,59,14.6682,1311531
1,26788.04343,107,36.4143,820192
1,54109.23807,208,58.9198,14513208
1,85866.81312,162,43.8274,20275841
1,8314.816494,128,38.1488,16854561
1,25822.24396,73,18.4512,18105615
1,70265.81945,122,31.2325,1009559
1,175156.5361,160,34.7049,5833849
1,91341.15276,115,27.5965,11380553
1,39788.18482,88,24.8222,4570908
1,30870.83467,111,27.7054,6932517
1,40733.13502,70,13.7168,7396414
1,132679.6685,100,20.551,8495466
1,132204.4085,108,23.7046,10583525
1,22953.85237,61,13.5462,716406
1,61082.08239,54,13.9279,644775
1,125022.2993,152,36.2716,1677237
1,20836.48371,56,16.8829,1358907
1,38800.94009,131,33.5336,9807093
1,26914.69725,79,20.0926,9483205
1,505660.6216,189,26.9805,15069024
1,122448.424,143,36.549,22574458
1,108759.8154,97,24.5611,11120571
1,150787.7908,231,59.8164,10919795
1,11758.63567,87,21.1647,14393203
1,65439.21533,184,56.8339,6950609
1,188227.0729,282,71.9168,28350889
1,166564.1346,335,79.1395,13634068
1,49408.75806,240,67.2349,13111546
1,184857.9901,261,66.8379,15463774
1,37954.25374,188,58.9803,35120297
1,7236.37788,56,14.6216,4211850
1,112706.4036,184,55.0434,3351638
1,63327.82217,181,52.6372,2352006
1,45004.98796,79,18.0113,2588805
1,38643.2,122,32.925,35601852
1,165100,308,82.5368,21522317
1,575379,311,64.2134,17084359
1,75459.6,85,20.6215,3606539
1,30377.9,117,27.425,3635814
1,123056,86,23.0418,6904114
1,67536,156,44.0114,7395391
1,142494,184,54.9119,1831007
1,32224.7,166,41.6118,1338168
1,68873.1,134,30.0731,1449135
1,10816,51,12.128,1760124
1,57976.8,112,34.2914,1505781
1,83635.7,138,24.3494,17343393
1,254939,235,63.5944,17672479
1,291017,153,34.3403,18538697
1,171127,213,53.9439,15387977
1,325045,166,38.1051,9302038
1,842641,291,68.4265,20346847
1,150591,106,25.0998,15429449
1,156207,184,45.1611,12122290
1,47502,159,38.2567,7818065
1,192407,215,52.4939,2379599
1,56161,211,62.7439,3365301
1,179658,112,26.193,11713307
1,138853,305,77.5645,6647791
1,108106,177,46.2891,7286632
1,7481,84,26.5171,18614400
1,479425,212,51.1058,14421177
1,260834,184,38.9988,16522292
1,20953.4,106,27.3043,15265315
1,290612,238,57.0737,16480569
1,261891,135,34.6664,10772542
1,175104,129,31.0721,12002892
1,332221,139,30.6466,11252739
1,295158,163,38.377,16020704
1,82989.797,137,31.7033,17131977
1,103909,148,32.2883,23634259
1,12639.2,61,16.234,22778020
1,491539,231,53.1968,6775535
1,17663.15541,55,13.535,27916066
1,392490.1502,183,43.041,11272908
1,205987.4832,233,64.1203,25575522
1,441769.4708,339,69.0299,10784147
1,46254.06791,186,50.8266,11510094
1,36278.89392,104,27.6089,10650635
1,209240.1279,103,22.9782,6283495
1,604319.7785,212,47.5523,4874839
1,40163.67662,63,17.7371,26058388
1,29725.29617,49,11.6719,4843302
1,24500.2,85,20.1728,13761126
1,128409,181,45.6192,8032774
1,44620.2,106,23.8497,20187804
1,61257.8,83,17.1242,27899028
1,110266,162,40.6344,18852974
1,71363.6,80,20.7697,16734021
1,101035,173,38.7085,28530051
1,13564.4,69,19.7459,12864396
1,107794,110,22.994,16259897
1,10146.5,45,12.2227,19779027
1,63968.8,79,14.9508,12212875
1,39401.2,127,37.3443,20193991
1,281955,180,48.6836,13790348
1,309016,234,53.3074,13426892
1,142015,109,31.3244,11616327
1,56049,133,32.7561,13906815
1,282798,258,71.1944,2917575
1,244938,182,46.845,16212272
1,87598,154,37.1865,4309653
1,50643,134,37.1654,2917575
1,90656,103,23.1881,3153210
1,484901,128,24.8982,15984758
1,76490,182,44.6348,5899284
1,34935,112,30.385,6563921
1,182771,215,48.1682,2440183
1,NA,NA,NA,NA
1,NA,NA,NA,NA
